Ano,Mês,Bairro,Utilização,Tipologia,Total,Valor Recolhido
2013,02,ENCANTADO,RESIDENCIAL,CASA,4,16643.11
2013,02,ENCANTADO,RESIDENCIAL,APARTAMENTO,5,14294.78
2013,02,ENCANTADO,TERRITORIAL,TERRENO,2,6767.19
2013,02,GUADALUPE,RESIDENCIAL,CASA,3,15352.31
2013,02,GUADALUPE,RESIDENCIAL,APARTAMENTO,6,15539.82
2013,02,GUADALUPE,NAO RESIDENCIAL,LOJA,1,800
2013,02,GUARATIBA,RESIDENCIAL,CASA,7,21863.98
2013,02,GUARATIBA,RESIDENCIAL,CASA/APTO (PROLETARIO),1,2000
2013,02,GUARATIBA,TERRITORIAL,TERRENO,40,43415.2
2013,02,GUARATIBA,NAO RESIDENCIAL,GALPAO,2,33439.83
2013,02,ITANHANGA,RESIDENCIAL,CASA,2,70400
2013,02,ITANHANGA,TERRITORIAL,TERRENO,1,6000
2013,02,MADUREIRA,RESIDENCIAL,CASA,8,50269.37
2013,02,MADUREIRA,RESIDENCIAL,APARTAMENTO,9,27814.18
2013,02,MADUREIRA,NAO RESIDENCIAL,LOJA,1,4359.04
2013,02,MADUREIRA,NAO RESIDENCIAL,SALA,2,4852.73
2013,02,MADUREIRA,NAO RESIDENCIAL,GALPAO,1,2637.96
2013,02,MANGUEIRA,RESIDENCIAL,CASA,1,2300
2013,02,PACIENCIA,RESIDENCIAL,APARTAMENTO,3,7998.19
2013,02,PACIENCIA,RESIDENCIAL,CASA/APTO (PROLETARIO),1,1560
2013,02,PACIENCIA,TERRITORIAL,TERRENO,3,4378.04
2013,02,PECHINCHA,RESIDENCIAL,CASA,6,49426.65
2013,02,PECHINCHA,RESIDENCIAL,APARTAMENTO,61,315218.11
2013,02,PECHINCHA,TERRITORIAL,TERRENO,3,19300
2013,02,RIACHUELO,RESIDENCIAL,CASA,3,26408.45
2013,02,RIACHUELO,RESIDENCIAL,APARTAMENTO,16,57544.15
2013,02,AGUA SANTA,RESIDENCIAL,CASA,1,5600
2013,02,AGUA SANTA,RESIDENCIAL,APARTAMENTO,3,5838.31
2013,02,BONSUCESSO,RESIDENCIAL,CASA,1,1938.33
2013,02,BONSUCESSO,RESIDENCIAL,APARTAMENTO,6,29508.5
